ADM,CNPJ,Endereco,Cidade_UF,Inscricao_Estadual,PIA,Status_PIA
ADM Coxim-MS,03.673.233/0001-43,"RUA JOAQUIM CARDEAL DE SOUZA , 311",COXIM - MS,ISENTO,PIA-COXIM,Ativa
ADM Coxim-MS,03.673.233/0001-43,"RUA JOAQUIM CARDEAL DE SOUZA , 311",COXIM - MS,ISENTO,PIA-SONORA,Ativa
ADM Coxim-MS,03.673.233/0001-43,"RUA JOAQUIM CARDEAL DE SOUZA , 311",COXIM - MS,ISENTO,PIA-SÃO GABRIEL,Ativa
ADM Coxim-MS,03.673.233/0001-43,"RUA JOAQUIM CARDEAL DE SOUZA , 311",COXIM - MS,ISENTO,PIA-ALCINÓPOLIS,Inativa (futura)
ADM Costa Rica-MS,15.409.246/0001-99,"RUA TERCIO TEIXEIRA MACHADO , 759",COSTA RICA - MS,ISENTO,PIA-COSTA,Ativa
